# modules_per_pv,n_pv,specific_energy_consumption,sh_multiplier,friction_factor_multiplier,LCOW,operating_pressure,water_recovery,n_pv,modules_per_pv,channel_height,spacer_porosity,velocity
3.000000e+00,1.500000e+02,6.927549e+00,1.000000e+00,1.000000e+00,1.716086e+00,1.473981e+07,5.000000e-01,1.500000e+02,3.000000e+00,7.112000e-04,8.500000e-01,2.400000e-01
3.000000e+00,1.600000e+02,6.819788e+00,1.000000e+00,1.000000e+00,1.691482e+00,1.451585e+07,5.000000e-01,1.600000e+02,3.000000e+00,7.112000e-04,8.500000e-01,2.250000e-01
3.000000e+00,1.700000e+02,6.591433e+00,1.000000e+00,1.000000e+00,1.637596e+00,1.403557e+07,5.000000e-01,1.700000e+02,3.000000e+00,7.112000e-04,8.500000e-01,2.117647e-01
3.000000e+00,1.800000e+02,6.388183e+00,1.000000e+00,1.000000e+00,1.589776e+00,1.360795e+07,5.000000e-01,1.800000e+02,3.000000e+00,7.112000e-04,8.500000e-01,2.000000e-01
3.000000e+00,1.900000e+02,6.206085e+00,1.000000e+00,1.000000e+00,1.547067e+00,1.322473e+07,5.000000e-01,1.900000e+02,3.000000e+00,7.112000e-04,8.500000e-01,1.894737e-01
3.000000e+00,2.000000e+02,6.041978e+00,1.000000e+00,1.000000e+00,1.508705e+00,1.287927e+07,5.000000e-01,2.000000e+02,3.000000e+00,7.112000e-04,8.500000e-01,1.800000e-01
3.000000e+00,2.100000e+02,5.893301e+00,1.000000e+00,1.000000e+00,1.474073e+00,1.256621e+07,5.000000e-01,2.100000e+02,3.000000e+00,7.112000e-04,8.500000e-01,1.714286e-01
4.000000e+00,1.500000e+02,5.699733e+00,1.000000e+00,1.000000e+00,1.424448e+00,1.212535e+07,5.000000e-01,1.500000e+02,4.000000e+00,7.112000e-04,8.500000e-01,2.400000e-01
4.000000e+00,1.600000e+02,5.506360e+00,1.000000e+00,1.000000e+00,1.379583e+00,1.172125e+07,5.000000e-01,1.600000e+02,4.000000e+00,7.112000e-04,8.500000e-01,2.250000e-01
4.000000e+00,1.700000e+02,5.335785e+00,1.000000e+00,1.000000e+00,1.340208e+00,1.136457e+07,5.000000e-01,1.700000e+02,4.000000e+00,7.112000e-04,8.500000e-01,2.117647e-01
4.000000e+00,1.800000e+02,5.184194e+00,1.000000e+00,1.000000e+00,1.305406e+00,1.104742e+07,5.000000e-01,1.800000e+02,4.000000e+00,7.112000e-04,8.500000e-01,2.000000e-01
4.000000e+00,1.900000e+02,5.048579e+00,1.000000e+00,1.000000e+00,1.274454e+00,1.076354e+07,5.000000e-01,1.900000e+02,4.000000e+00,7.112000e-04,8.500000e-01,1.894737e-01
4.000000e+00,2.000000e+02,4.926535e+00,1.000000e+00,1.000000e+00,1.246773e+00,1.050795e+07,5.000000e-01,2.000000e+02,4.000000e+00,7.112000e-04,8.500000e-01,1.800000e-01
4.000000e+00,2.100000e+02,4.816118e+00,1.000000e+00,1.000000e+00,1.221895e+00,1.027662e+07,5.000000e-01,2.100000e+02,4.000000e+00,7.112000e-04,8.500000e-01,1.714286e-01
5.000000e+00,1.500000e+02,4.916628e+00,1.000000e+00,1.000000e+00,1.240668e+00,1.045329e+07,5.000000e-01,1.500000e+02,5.000000e+00,7.112000e-04,8.500000e-01,2.400000e-01
5.000000e+00,1.600000e+02,4.761026e+00,1.000000e+00,1.000000e+00,1.205470e+00,1.013061e+07,5.000000e-01,1.600000e+02,5.000000e+00,7.112000e-04,8.500000e-01,2.250000e-01
5.000000e+00,1.700000e+02,4.624004e+00,1.000000e+00,1.000000e+00,1.174730e+00,9.846191e+06,5.000000e-01,1.700000e+02,5.000000e+00,7.112000e-04,8.500000e-01,2.117647e-01
5.000000e+00,1.800000e+02,4.502431e+00,1.000000e+00,1.000000e+00,1.147698e+00,9.593627e+06,5.000000e-01,1.800000e+02,5.000000e+00,7.112000e-04,8.500000e-01,2.000000e-01
5.000000e+00,1.900000e+02,4.393841e+00,1.000000e+00,1.000000e+00,1.123784e+00,9.367861e+06,5.000000e-01,1.900000e+02,5.000000e+00,7.112000e-04,8.500000e-01,1.894737e-01
5.000000e+00,2.000000e+02,4.296266e+00,1.000000e+00,1.000000e+00,1.102515e+00,9.164853e+06,5.000000e-01,2.000000e+02,5.000000e+00,7.112000e-04,8.500000e-01,1.800000e-01
5.000000e+00,2.100000e+02,4.208116e+00,1.000000e+00,1.000000e+00,1.083512e+00,8.981336e+06,5.000000e-01,2.100000e+02,5.000000e+00,7.112000e-04,8.500000e-01,1.714286e-01
6.000000e+00,1.500000e+02,4.414987e+00,1.000000e+00,1.000000e+00,1.125160e+00,9.377877e+06,5.000000e-01,1.500000e+02,6.000000e+00,7.112000e-04,8.500000e-01,2.400000e-01
6.000000e+00,1.600000e+02,4.283914e+00,1.000000e+00,1.000000e+00,1.096417e+00,9.108533e+06,5.000000e-01,1.600000e+02,6.000000e+00,7.112000e-04,8.500000e-01,2.250000e-01
6.000000e+00,1.700000e+02,4.168708e+00,1.000000e+00,1.000000e+00,1.071465e+00,8.871488e+06,5.000000e-01,1.700000e+02,6.000000e+00,7.112000e-04,8.500000e-01,2.117647e-01
6.000000e+00,1.800000e+02,4.066675e+00,1.000000e+00,1.000000e+00,1.049661e+00,8.661301e+06,5.000000e-01,1.800000e+02,6.000000e+00,7.112000e-04,8.500000e-01,2.000000e-01
6.000000e+00,1.900000e+02,3.975695e+00,1.000000e+00,1.000000e+00,1.030500e+00,8.473684e+06,5.000000e-01,1.900000e+02,6.000000e+00,7.112000e-04,8.500000e-01,1.894737e-01
6.000000e+00,2.000000e+02,3.894079e+00,1.000000e+00,1.000000e+00,1.013581e+00,8.305213e+06,5.000000e-01,2.000000e+02,6.000000e+00,7.112000e-04,8.500000e-01,1.800000e-01
6.000000e+00,2.100000e+02,3.820464e+00,1.000000e+00,1.000000e+00,9.985762e-01,8.153120e+06,5.000000e-01,2.100000e+02,6.000000e+00,7.112000e-04,8.500000e-01,1.714286e-01
7.000000e+00,1.500000e+02,4.069024e+00,1.000000e+00,1.000000e+00,1.047420e+00,8.632587e+06,5.000000e-01,1.500000e+02,7.000000e+00,7.112000e-04,8.500000e-01,2.400000e-01
7.000000e+00,1.600000e+02,3.955036e+00,1.000000e+00,1.000000e+00,1.023325e+00,8.400785e+06,5.000000e-01,1.600000e+02,7.000000e+00,7.112000e-04,8.500000e-01,2.250000e-01
7.000000e+00,1.700000e+02,3.855050e+00,1.000000e+00,1.000000e+00,1.002560e+00,8.197118e+06,5.000000e-01,1.700000e+02,7.000000e+00,7.112000e-04,8.500000e-01,2.117647e-01
7.000000e+00,1.800000e+02,3.766668e+00,1.000000e+00,1.000000e+00,9.845550e-01,8.016815e+06,5.000000e-01,1.800000e+02,7.000000e+00,7.112000e-04,8.500000e-01,2.000000e-01
7.000000e+00,1.900000e+02,3.688006e+00,1.000000e+00,1.000000e+00,9.688645e-01,7.856120e+06,5.000000e-01,1.900000e+02,7.000000e+00,7.112000e-04,8.500000e-01,1.894737e-01
7.000000e+00,2.000000e+02,3.617566e+00,1.000000e+00,1.000000e+00,9.551326e-01,7.712039e+06,5.000000e-01,2.000000e+02,7.000000e+00,7.112000e-04,8.500000e-01,1.800000e-01
7.000000e+00,2.100000e+02,3.554139e+00,1.000000e+00,1.000000e+00,9.430726e-01,7.582152e+06,5.000000e-01,2.100000e+02,7.000000e+00,7.112000e-04,8.500000e-01,1.714286e-01
8.000000e+00,1.500000e+02,3.818273e+00,1.000000e+00,1.000000e+00,9.927814e-01,8.089294e+06,5.000000e-01,1.500000e+02,8.000000e+00,7.112000e-04,8.500000e-01,2.400000e-01
8.000000e+00,1.600000e+02,3.716760e+00,1.000000e+00,1.000000e+00,9.722168e-01,7.885248e+06,5.000000e-01,1.600000e+02,8.000000e+00,7.112000e-04,8.500000e-01,2.250000e-01
8.000000e+00,1.700000e+02,3.627909e+00,1.000000e+00,1.000000e+00,9.546468e-01,7.706285e+06,5.000000e-01,1.700000e+02,8.000000e+00,7.112000e-04,8.500000e-01,2.117647e-01
8.000000e+00,1.800000e+02,3.549531e+00,1.000000e+00,1.000000e+00,9.395559e-01,7.548122e+06,5.000000e-01,1.800000e+02,8.000000e+00,7.112000e-04,8.500000e-01,2.000000e-01
8.000000e+00,1.900000e+02,3.479909e+00,1.000000e+00,1.000000e+00,9.265395e-01,7.407389e+06,5.000000e-01,1.900000e+02,8.000000e+00,7.112000e-04,8.500000e-01,1.894737e-01
8.000000e+00,2.000000e+02,3.417679e+00,1.000000e+00,1.000000e+00,9.152760e-01,7.281403e+06,5.000000e-01,2.000000e+02,8.000000e+00,7.112000e-04,8.500000e-01,1.800000e-01
8.000000e+00,2.100000e+02,3.361745e+00,1.000000e+00,1.000000e+00,9.055062e-01,7.167999e+06,5.000000e-01,2.100000e+02,8.000000e+00,7.112000e-04,8.500000e-01,1.714286e-01
9.000000e+00,1.500000e+02,3.629991e+00,1.000000e+00,1.000000e+00,9.533044e-01,7.678619e+06,5.000000e-01,1.500000e+02,9.000000e+00,7.112000e-04,8.500000e-01,2.400000e-01
9.000000e+00,1.600000e+02,3.537899e+00,1.000000e+00,1.000000e+00,9.355278e-01,7.495834e+06,5.000000e-01,1.600000e+02,9.000000e+00,7.112000e-04,8.500000e-01,2.250000e-01
9.000000e+00,1.700000e+02,3.457473e+00,1.000000e+00,1.000000e+00,9.204953e-01,7.335816e+06,5.000000e-01,1.700000e+02,9.000000e+00,7.112000e-04,8.500000e-01,2.117647e-01
9.000000e+00,1.800000e+02,3.386676e+00,1.000000e+00,1.000000e+00,9.077302e-01,7.194645e+06,5.000000e-01,1.800000e+02,9.000000e+00,7.112000e-04,8.500000e-01,2.000000e-01
9.000000e+00,1.900000e+02,3.323916e+00,1.000000e+00,1.000000e+00,8.968590e-01,7.069243e+06,5.000000e-01,1.900000e+02,9.000000e+00,7.112000e-04,8.500000e-01,1.894737e-01
9.000000e+00,2.000000e+02,3.267926e+00,1.000000e+00,1.000000e+00,8.875851e-01,6.957162e+06,5.000000e-01,2.000000e+02,9.000000e+00,7.112000e-04,8.500000e-01,1.800000e-01
9.000000e+00,2.100000e+02,3.217690e+00,1.000000e+00,1.000000e+00,8.796697e-01,6.856426e+06,5.000000e-01,2.100000e+02,9.000000e+00,7.112000e-04,8.500000e-01,1.714286e-01
